date,category,actual,unified_forecast,unified_forecast_with_user
2025-01-07,cash_out_foreign_exchange_expenses,0.0,-484.62,-484.62
2025-01-07,cash_out_tax_payments,0.0,-50.59,-50.59
2025-01-07,cash_out_insurance_costs,0.0,-76.25,-76.25
2025-01-07,cash_out_resort_maintenance_expenses,-89.05,-5.53,-5.53
2025-01-07,cash_in_tax_income,0.0,0.0,0.0
2025-01-07,cash_out_payroll,0.0,-2132.82,-2132.82
2025-01-07,cash_in_investments_income,0.0,134.63,134.63
2025-01-08,cash_in_resort_revenue,1939.65,1494.34,1494.34
2025-01-08,cash_out_investments_outflow,-85.14,-764.08,-764.08
2025-01-08,cash_out_foreign_exchange_expenses,0.0,-30.43,-30.43
2025-01-08,cash_out_tax_payments,-2351.3999999999996,-3337.95,-3337.95
2025-01-08,cash_out_insurance_costs,-104.75,-41.72,-41.72
2025-01-08,cash_out_resort_maintenance_expenses,0.0,-254.24,-254.24
2025-01-08,cash_in_tax_income,295.92,1772.12,1772.12
2025-01-08,cash_out_payroll,0.0,-1216.83,-1216.83
2025-01-08,cash_in_investments_income,0.0,645.0,645.0
2025-01-09,cash_in_resort_revenue,0.0,884.55,884.55
2025-01-09,cash_out_investments_outflow,0.0,-180.18,-180.18
2025-01-09,cash_out_foreign_exchange_expenses,-905.49,-196.95,-196.95
2025-01-09,cash_out_tax_payments,0.0,-113.24,-113.24
2025-01-09,cash_out_insurance_costs,-93.18,-6.49,-6.49
2025-01-09,cash_out_resort_maintenance_expenses,0.0,-5.65,-5.65
2025-01-09,cash_in_tax_income,275.75,0.0,0.0
2025-01-09,cash_out_payroll,-2902.88,-2406.41,-2406.41
2025-01-09,cash_in_investments_income,0.0,1440.43,1440.43
2025-01-10,cash_in_resort_revenue,0.0,913.73,913.73
2025-01-10,cash_out_investments_outflow,0.0,-318.59,-318.59
2025-01-10,cash_out_foreign_exchange_expenses,-364.56,-374.95,-374.95
2025-01-10,cash_out_tax_payments,0.0,-1929.2,-1929.2
2025-01-10,cash_out_insurance_costs,0.0,-16.39,-16.39
2025-01-10,cash_out_resort_maintenance_expenses,-179.39,-69.12,-69.12
2025-01-10,cash_in_tax_income,437.85,104.15,104.15
2025-01-10,cash_out_payroll,0.0,-1262.46,-1262.46
2025-01-10,cash_in_investments_income,0.0,0.0,4940.7
2025-01-11,cash_in_resort_revenue,0.0,2832.7,2832.7
2025-01-11,cash_out_investments_outflow,0.0,0.0,0.0
2025-01-11,cash_out_foreign_exchange_expenses,0.0,-11.73,-11.73
2025-01-11,cash_out_tax_payments,0.0,834.51,834.51
2025-01-11,cash_out_insurance_costs,-77.89,-52.86,-52.86
2025-01-11,cash_out_resort_maintenance_expenses,0.0,-0.91,-0.91
2025-01-11,cash_in_tax_income,0.0,0.0,0.0
2025-01-11,cash_out_payroll,0.0,0.0,0.0
2025-01-11,cash_in_investments_income,0.0,1508.2,2641.55
2025-01-12,cash_in_resort_revenue,4905.9,1399.15,1399.15
2025-01-12,cash_out_investments_outflow,-163.46,0.0,0.0
2025-01-12,cash_out_foreign_exchange_expenses,0.0,-10.97,-10.97
2025-01-12,cash_out_tax_payments,0.0,41.17,41.17
2025-01-12,cash_out_insurance_costs,0.0,-71.5,-71.5
2025-01-12,cash_out_resort_maintenance_expenses,0.0,-78.66,-78.66
2025-01-12,cash_in_tax_income,514.77,0.0,0.0
2025-01-12,cash_out_payroll,0.0,345.5,345.5
2025-01-12,cash_in_investments_income,0.0,0.0,0.0
2025-01-13,cash_in_resort_revenue,5634.42,218.85,218.85
2025-01-13,cash_out_investments_outflow,0.0,-12.72,-12.72
2025-01-13,cash_out_foreign_exchange_expenses,-215.6,-129.15,-129.15
2025-01-13,cash_out_tax_payments,0.0,-2373.2,-2373.2
2025-01-13,cash_out_insurance_costs,0.0,-68.12,-68.12
2025-01-13,cash_out_resort_maintenance_expenses,0.0,-158.93,-158.93
2025-01-13,cash_in_tax_income,0.0,409.73,409.73
2025-01-13,cash_out_payroll,-4941.99,-2625.04,-2625.04
2025-01-13,cash_in_investments_income,297.81,0.0,0.0
2025-01-14,cash_in_resort_revenue,0.0,918.16,918.16
2025-01-14,cash_out_investments_outflow,0.0,-12.98,-12.98
2025-01-14,cash_out_foreign_exchange_expenses,-208.82,-95.21,-95.21
2025-01-14,cash_out_tax_payments,0.0,-44.29,-44.29
2025-01-14,cash_out_insurance_costs,-79.1,-6.54,-6.54
2025-01-14,cash_out_resort_maintenance_expenses,-199.62,-135.68,-135.68
2025-01-14,cash_in_tax_income,0.0,830.23,830.23
2025-01-14,cash_out_payroll,0.0,-2777.79,-2777.79
2025-01-14,cash_in_investments_income,287.61,2395.51,2395.51
2025-01-15,cash_in_resort_revenue,0.0,588.88,588.88
2025-01-15,cash_out_investments_outflow,0.0,-13.35,-13.35
2025-01-15,cash_out_foreign_exchange_expenses,-342.52,-30.44,-30.44
2025-01-15,cash_out_tax_payments,-520.16,-2653.08,-2653.08
2025-01-15,cash_out_insurance_costs,0.0,-65.42,-65.42
2025-01-15,cash_out_resort_maintenance_expenses,-108.94,-5.54,-5.54
2025-01-15,cash_in_tax_income,403.6,463.88,463.88
2025-01-15,cash_out_payroll,0.0,-5702.24,-5702.24
2025-01-15,cash_in_investments_income,878.99,712.29,712.29
2025-01-16,cash_in_resort_revenue,0.0,1224.19,1224.19
2025-01-16,cash_out_investments_outflow,-325.69000000000005,-357.82,-357.82
2025-01-16,cash_out_foreign_exchange_expenses,-1095.04,-133.34,-133.34
2025-01-16,cash_out_tax_payments,-312.8,-40.73,-40.73
2025-01-16,cash_out_insurance_costs,0.0,-48.88,-48.88
2025-01-16,cash_out_resort_maintenance_expenses,0.0,-131.01,-131.01
2025-01-16,cash_in_tax_income,497.08,261.42,261.42
2025-01-16,cash_out_payroll,0.0,-1520.92,-1520.92
2025-01-16,cash_in_investments_income,0.0,425.64,425.64
2025-01-17,cash_in_resort_revenue,1491.71,501.76,501.76
2025-01-17,cash_out_investments_outflow,-641.43,-563.52,271.6
2025-01-17,cash_out_foreign_exchange_expenses,0.0,-99.83,-99.83
2025-01-17,cash_out_tax_payments,0.0,-40.23,-40.23
2025-01-17,cash_out_insurance_costs,0.0,-105.49,-105.49
2025-01-17,cash_out_resort_maintenance_expenses,-162.05,-83.01,-83.01
2025-01-17,cash_in_tax_income,0.0,0.0,0.0
2025-01-17,cash_out_payroll,-4396.55,-2464.67,-2464.67
2025-01-17,cash_in_investments_income,729.5699999999999,803.21,803.21
2025-01-18,cash_in_resort_revenue,2998.9,2169.28,2169.28
2025-01-18,cash_out_investments_outflow,-224.87,1013.04,1013.04
2025-01-18,cash_out_foreign_exchange_expenses,-410.29,-136.97,-136.97
2025-01-18,cash_out_tax_payments,0.0,0.0,0.0
2025-01-18,cash_out_insurance_costs,0.0,-0.86,-0.86
2025-01-18,cash_out_resort_maintenance_expenses,-59.16,-1.06,-1.06
2025-01-18,cash_in_tax_income,0.0,1682.41,1682.41
2025-01-18,cash_out_payroll,0.0,635.82,635.82
2025-01-18,cash_in_investments_income,0.0,769.19,769.19
2025-01-19,cash_in_resort_revenue,0.0,2992.25,2992.25
2025-01-19,cash_out_investments_outflow,0.0,827.09,827.09
2025-01-19,cash_out_foreign_exchange_expenses,-411.61,-159.08,-159.08
2025-01-19,cash_out_tax_payments,-573.61,0.0,0.0
2025-01-19,cash_out_insurance_costs,0.0,-0.7,-0.7
2025-01-19,cash_out_resort_maintenance_expenses,0.0,-75.57,-75.57
2025-01-19,cash_in_tax_income,411.89,2015.97,2015.97
2025-01-19,cash_out_payroll,0.0,101.26,197.47
2025-01-19,cash_in_investments_income,0.0,0.0,0.0
2025-01-20,cash_in_resort_revenue,0.0,880.26,880.26
2025-01-20,cash_out_investments_outflow,0.0,-14.42,-14.42
2025-01-20,cash_out_foreign_exchange_expenses,-356.93,-151.79,-151.79
2025-01-20,cash_out_tax_payments,0.0,-45.6,-45.6
2025-01-20,cash_out_insurance_costs,0.0,-9.07,-9.07
2025-01-20,cash_out_resort_maintenance_expenses,0.0,-48.51,-48.51
2025-01-20,cash_in_tax_income,0.0,0.0,0.0
2025-01-20,cash_out_payroll,0.0,-1789.94,-1789.94
2025-01-20,cash_in_investments_income,0.0,0.0,0.0
2025-01-21,cash_in_resort_revenue,8578.779999999999,1171.39,4245.72
2025-01-21,cash_out_investments_outflow,-73.98,-22.13,-22.13
2025-01-21,cash_out_foreign_exchange_expenses,-354.05999999999995,-178.23,-178.23
2025-01-21,cash_out_tax_payments,0.0,-2549.62,-2549.62
2025-01-21,cash_out_insurance_costs,-73.18,-38.71,-38.71
2025-01-21,cash_out_resort_maintenance_expenses,-139.59,-116.96,-116.96
2025-01-21,cash_in_tax_income,390.31,0.0,0.0
2025-01-21,cash_out_payroll,0.0,-2192.53,-2192.53
2025-01-21,cash_in_investments_income,0.0,911.54,1477.52
2025-01-22,cash_in_resort_revenue,0.0,401.96,401.96
2025-01-22,cash_out_investments_outflow,-357.45,-14.97,-14.97
2025-01-22,cash_out_foreign_exchange_expenses,0.0,-222.84,-222.84
2025-01-22,cash_out_tax_payments,0.0,-1400.13,-1400.13
2025-01-22,cash_out_insurance_costs,0.0,-56.87,-56.87
2025-01-22,cash_out_resort_maintenance_expenses,-26.52,-93.68,-93.68
2025-01-22,cash_in_tax_income,0.0,19.47,19.47
2025-01-22,cash_out_payroll,-2142.38,-1978.6,-1978.6
2025-01-22,cash_in_investments_income,348.08,606.02,606.02
2025-01-23,cash_in_resort_revenue,2304.46,877.69,877.69
2025-01-23,cash_out_investments_outflow,0.0,-14.97,-14.97
2025-01-23,cash_out_foreign_exchange_expenses,-98.93,-219.14,-219.14
2025-01-23,cash_out_tax_payments,0.0,-44.18,-44.18
2025-01-23,cash_out_insurance_costs,0.0,-283.56,-283.56
2025-01-23,cash_out_resort_maintenance_expenses,0.0,-39.12,-39.12
2025-01-23,cash_in_tax_income,0.0,0.0,0.0
2025-01-23,cash_out_payroll,0.0,-1996.72,-5685.25
2025-01-23,cash_in_investments_income,324.52,0.0,0.0
2025-01-24,cash_in_resort_revenue,0.0,983.4,983.4
2025-01-24,cash_out_investments_outflow,0.0,-1185.3,-1121.1
2025-01-24,cash_out_foreign_exchange_expenses,-563.43,-198.72,-198.72
2025-01-24,cash_out_tax_payments,0.0,-46.81,-46.81
2025-01-24,cash_out_insurance_costs,0.0,-5.86,-5.86
2025-01-24,cash_out_resort_maintenance_expenses,-99.75,-132.82,-132.82
2025-01-24,cash_in_tax_income,243.72,686.59,686.59
2025-01-24,cash_out_payroll,-2027.43,-2398.16,-2398.16
2025-01-24,cash_in_investments_income,0.0,1451.45,1451.45
2025-01-25,cash_in_resort_revenue,683.98,1860.23,1860.23
2025-01-25,cash_out_investments_outflow,-51.69,398.93,398.93
2025-01-25,cash_out_foreign_exchange_expenses,0.0,-4.05,-4.05
2025-01-25,cash_out_tax_payments,-2039.73,0.0,0.0
2025-01-25,cash_out_insurance_costs,-25.77,-0.7,-0.7
2025-01-25,cash_out_resort_maintenance_expenses,0.0,-0.93,-0.93
2025-01-25,cash_in_tax_income,438.34,0.0,0.0
2025-01-25,cash_out_payroll,-4310.11,802.97,802.97
2025-01-25,cash_in_investments_income,0.0,326.35,326.35
2025-01-26,cash_in_resort_revenue,0.0,3191.57,3191.57
2025-01-26,cash_out_investments_outflow,-178.3,519.37,519.37
2025-01-26,cash_out_foreign_exchange_expenses,0.0,-3.33,-3.33
2025-01-26,cash_out_tax_payments,0.0,0.0,0.0
2025-01-26,cash_out_insurance_costs,-106.93,-0.65,-0.65
2025-01-26,cash_out_resort_maintenance_expenses,0.0,-14.45,-14.45
2025-01-26,cash_in_tax_income,552.02,2584.88,2584.88
2025-01-26,cash_out_payroll,0.0,0.0,0.0
2025-01-26,cash_in_investments_income,0.0,659.65,659.65
2025-01-27,cash_in_resort_revenue,0.0,737.75,737.75
2025-01-27,cash_out_investments_outflow,-206.47,-186.32,-186.32
2025-01-27,cash_out_foreign_exchange_expenses,0.0,-55.07,-55.07
2025-01-27,cash_out_tax_payments,-763.0,-1392.8,-1392.8
2025-01-27,cash_out_insurance_costs,-189.67,-371.35,-371.35
2025-01-27,cash_out_resort_maintenance_expenses,0.0,-5.92,-5.92
2025-01-27,cash_in_tax_income,0.0,356.99,356.99
2025-01-27,cash_out_payroll,-7286.39,-1821.29,-1821.29
2025-01-27,cash_in_investments_income,0.0,1811.65,1811.65
2025-01-28,cash_in_resort_revenue,2759.93,881.68,881.68
2025-01-28,cash_out_investments_outflow,-105.98,-437.46,-437.46
2025-01-28,cash_out_foreign_exchange_expenses,-530.47,-136.78,-136.78
2025-01-28,cash_out_tax_payments,0.0,-3834.94,-3834.94
2025-01-28,cash_out_insurance_costs,0.0,-5.64,-5.64
2025-01-28,cash_out_resort_maintenance_expenses,0.0,-46.19,-46.19
2025-01-28,cash_in_tax_income,0.0,0.0,0.0
2025-01-28,cash_out_payroll,-1566.09,-1751.89,-1751.89
2025-01-28,cash_in_investments_income,0.0,219.82,219.82
2025-01-29,cash_in_resort_revenue,0.0,776.42,776.42
2025-01-29,cash_out_investments_outflow,-410.87,-12.51,-211.35
2025-01-29,cash_out_foreign_exchange_expenses,0.0,-156.3,-156.3
2025-01-29,cash_out_tax_payments,-795.01,-2374.61,-2374.61
2025-01-29,cash_out_insurance_costs,-102.55,-6.12,-6.12
2025-01-29,cash_out_resort_maintenance_expenses,0.0,-5.84,-5.84
2025-01-29,cash_in_tax_income,734.04,2063.71,2063.71
2025-01-29,cash_out_payroll,0.0,-1657.64,-1657.64
2025-01-29,cash_in_investments_income,428.71,591.45,1271.95
2025-01-30,cash_in_resort_revenue,0.0,1632.01,2728.53
2025-01-30,cash_out_investments_outflow,-49.19,-15.45,-15.45
2025-01-30,cash_out_foreign_exchange_expenses,0.0,-330.51,-330.51
2025-01-30,cash_out_tax_payments,0.0,-56.73,-56.73
2025-01-30,cash_out_insurance_costs,0.0,-240.6,-240.6
2025-01-30,cash_out_resort_maintenance_expenses,0.0,-33.98,-33.98
2025-01-30,cash_in_tax_income,1057.58,2320.64,2320.64
2025-01-30,cash_out_payroll,0.0,-1884.18,-1884.18
2025-01-30,cash_in_investments_income,71.83,1110.85,1110.85
2025-01-31,cash_in_resort_revenue,0.0,1250.14,1250.14
2025-01-31,cash_out_investments_outflow,0.0,-117.87,-117.87
2025-01-31,cash_out_foreign_exchange_expenses,0.0,-264.02,-264.02
2025-01-31,cash_out_tax_payments,-855.82,-793.95,-793.95
2025-01-31,cash_out_insurance_costs,0.0,-110.6,-110.6
2025-01-31,cash_out_resort_maintenance_expenses,-112.57,-49.44,-49.44
2025-01-31,cash_in_tax_income,0.0,408.51,408.51
2025-01-31,cash_out_payroll,0.0,-470.32,-3272.85
2025-01-31,cash_in_investments_income,0.0,7.04,7.04
2025-02-01,cash_in_resort_revenue,814.08,1695.45,1695.45
2025-02-01,cash_out_investments_outflow,-526.5,693.88,-1258.97
2025-02-01,cash_out_foreign_exchange_expenses,0.0,-71.57,-71.57
2025-02-01,cash_out_tax_payments,-802.61,0.0,0.0
2025-02-01,cash_out_insurance_costs,-52.46,-0.64,-0.64
2025-02-01,cash_out_resort_maintenance_expenses,0.0,-34.81,-34.81
2025-02-01,cash_in_tax_income,0.0,1044.27,1044.27
2025-02-01,cash_out_payroll,0.0,43.73,-5255.05
2025-02-01,cash_in_investments_income,0.0,58.99,58.99
2025-02-02,cash_in_resort_revenue,0.0,2973.68,2973.68
2025-02-02,cash_out_investments_outflow,0.0,100.6,-781.47
2025-02-02,cash_out_foreign_exchange_expenses,-714.9300000000001,-148.23,-148.23
2025-02-02,cash_out_tax_payments,-824.64,333.63,333.63
2025-02-02,cash_out_insurance_costs,0.0,-0.71,-0.71
2025-02-02,cash_out_resort_maintenance_expenses,-67.31,-2.11,-2.11
2025-02-02,cash_in_tax_income,0.0,156.8,156.8
2025-02-02,cash_out_payroll,-1444.11,724.8,724.8
2025-02-02,cash_in_investments_income,68.93,109.48,109.48
2025-02-03,cash_in_resort_revenue,3094.25,465.99,465.99
2025-02-03,cash_out_investments_outflow,0.0,-14.0,-14.0
2025-02-03,cash_out_foreign_exchange_expenses,0.0,-223.8,-223.8
2025-02-03,cash_out_tax_payments,-424.26,-58.52,-58.52
2025-02-03,cash_out_insurance_costs,-198.18,-5.24,-5.24
2025-02-03,cash_out_resort_maintenance_expenses,-118.99,-60.96,-60.96
2025-02-03,cash_in_tax_income,479.19,0.0,0.0
2025-02-03,cash_out_payroll,0.0,-2376.05,-2376.05
2025-02-03,cash_in_investments_income,0.0,0.0,0.0
2025-02-04,cash_in_resort_revenue,0.0,1337.21,1337.21
2025-02-04,cash_out_investments_outflow,-118.59,-777.19,-777.19
2025-02-04,cash_out_foreign_exchange_expenses,0.0,-328.35,-328.35
2025-02-04,cash_out_tax_payments,-796.56,-55.96,-55.96
2025-02-04,cash_out_insurance_costs,-202.76,-77.3,-77.3
2025-02-04,cash_out_resort_maintenance_expenses,0.0,-9.98,-9.98
2025-02-04,cash_in_tax_income,0.0,199.71,199.71
2025-02-04,cash_out_payroll,0.0,-2925.0,-2925.0
2025-02-04,cash_in_investments_income,319.89,2190.78,2190.78
2025-02-05,cash_in_resort_revenue,1972.11,69.5,69.5
2025-02-05,cash_out_investments_outflow,-222.52,-17.01,-17.01
2025-02-05,cash_out_foreign_exchange_expenses,0.0,-154.64,-154.64
2025-02-05,cash_out_tax_payments,0.0,-56.71,-56.71
2025-02-05,cash_out_insurance_costs,-110.17,-54.96,-54.96
2025-02-05,cash_out_resort_maintenance_expenses,0.0,-6.04,-6.04
2025-02-05,cash_in_tax_income,0.0,791.19,791.19
2025-02-05,cash_out_payroll,0.0,-2795.17,-2795.17
2025-02-05,cash_in_investments_income,0.0,0.0,0.0
2025-02-06,cash_in_resort_revenue,0.0,417.74,417.74
2025-02-06,cash_out_investments_outflow,0.0,-15.58,-15.58
2025-02-06,cash_out_foreign_exchange_expenses,0.0,-353.78,-353.78
2025-02-06,cash_out_tax_payments,-595.59,-1071.36,-1071.36
2025-02-06,cash_out_insurance_costs,0.0,-81.36,-81.36
2025-02-06,cash_out_resort_maintenance_expenses,-112.07,-129.19,-129.19
2025-02-06,cash_in_tax_income,457.91,0.0,0.0
2025-02-06,cash_out_payroll,-3645.58,-2976.2,-2976.2
2025-02-06,cash_in_investments_income,362.34,1079.35,1079.35
2025-02-07,cash_in_resort_revenue,1183.45,948.04,948.04
2025-02-07,cash_out_investments_outflow,0.0,-979.96,-979.96
2025-02-07,cash_out_foreign_exchange_expenses,0.0,-21.09,-21.09
2025-02-07,cash_out_tax_payments,0.0,-2894.29,-2894.29
2025-02-07,cash_out_insurance_costs,-184.25,-6.33,-6.33
2025-02-07,cash_out_resort_maintenance_expenses,-107.08,-134.51,-134.51
2025-02-07,cash_in_tax_income,121.68,83.86,83.86
2025-02-07,cash_out_payroll,0.0,-2930.24,-2930.24
2025-02-07,cash_in_investments_income,132.75,1275.83,1275.83
2025-02-08,cash_in_resort_revenue,1590.59,2819.86,2819.86
2025-02-08,cash_out_investments_outflow,0.0,0.0,0.0
2025-02-08,cash_out_foreign_exchange_expenses,0.0,-164.63,-164.63
2025-02-08,cash_out_tax_payments,-768.67,0.0,0.0
2025-02-08,cash_out_insurance_costs,0.0,-108.11,-108.11
2025-02-08,cash_out_resort_maintenance_expenses,0.0,-148.32,-148.32
2025-02-08,cash_in_tax_income,0.0,0.0,0.0
2025-02-08,cash_out_payroll,0.0,861.62,861.62
2025-02-08,cash_in_investments_income,519.63,592.0,592.0
2025-02-09,cash_in_resort_revenue,2137.76,3203.73,3203.73
2025-02-09,cash_out_investments_outflow,-78.91,851.26,851.26
2025-02-09,cash_out_foreign_exchange_expenses,-519.99,-5.59,-5.59
2025-02-09,cash_out_tax_payments,-993.91,513.24,513.24
2025-02-09,cash_out_insurance_costs,-171.59,-90.02,-90.02
2025-02-09,cash_out_resort_maintenance_expenses,0.0,-1.16,-1.16
2025-02-09,cash_in_tax_income,0.0,0.0,0.0
2025-02-09,cash_out_payroll,0.0,251.86,251.86
2025-02-09,cash_in_investments_income,251.75,0.0,0.0
2025-02-10,cash_in_resort_revenue,3485.07,1070.41,1070.41
2025-02-10,cash_out_investments_outflow,-330.09,-13.25,-13.25
2025-02-10,cash_out_foreign_exchange_expenses,0.0,-205.76,-205.76
2025-02-10,cash_out_tax_payments,0.0,-52.0,-52.0
2025-02-10,cash_out_insurance_costs,0.0,-5.22,-5.22
2025-02-10,cash_out_resort_maintenance_expenses,0.0,-69.88,-69.88
2025-02-10,cash_in_tax_income,0.0,297.42,297.42
2025-02-10,cash_out_payroll,-4371.96,-1998.7,-1998.7
2025-02-10,cash_in_investments_income,0.0,142.84,142.84
2025-02-11,cash_in_resort_revenue,1588.42,511.07,2638.77
2025-02-11,cash_out_investments_outflow,0.0,-227.38,-227.38
2025-02-11,cash_out_foreign_exchange_expenses,0.0,-281.88,-281.88
2025-02-11,cash_out_tax_payments,0.0,-51.52,-51.52
2025-02-11,cash_out_insurance_costs,-73.44,-66.06,-66.06
2025-02-11,cash_out_resort_maintenance_expenses,-106.48,-58.22,-58.22
2025-02-11,cash_in_tax_income,220.04,0.0,0.0
2025-02-11,cash_out_payroll,-2537.28,-2753.98,-2753.98
2025-02-11,cash_in_investments_income,0.0,0.0,0.0
2025-02-12,cash_in_resort_revenue,0.0,1316.97,1316.97
2025-02-12,cash_out_investments_outflow,0.0,-644.43,-644.43
2025-02-12,cash_out_foreign_exchange_expenses,-645.5799999999999,-66.12,-66.12
2025-02-12,cash_out_tax_payments,0.0,-49.53,-49.53
2025-02-12,cash_out_insurance_costs,0.0,-5.15,-5.15
2025-02-12,cash_out_resort_maintenance_expenses,0.0,-112.39,-112.39
2025-02-12,cash_in_tax_income,595.01,0.0,0.0
2025-02-12,cash_out_payroll,0.0,-2217.61,-5105.05
2025-02-12,cash_in_investments_income,371.01,751.32,751.32
2025-02-13,cash_in_resort_revenue,688.42,969.5,969.5
2025-02-13,cash_out_investments_outflow,-321.28,-13.1,-13.1
2025-02-13,cash_out_foreign_exchange_expenses,0.0,-196.3,-196.3
2025-02-13,cash_out_tax_payments,0.0,-346.84,-346.84
2025-02-13,cash_out_insurance_costs,0.0,-155.41,-155.41
2025-02-13,cash_out_resort_maintenance_expenses,0.0,-72.77,-72.77
2025-02-13,cash_in_tax_income,453.68,545.68,545.68
2025-02-13,cash_out_payroll,-868.66,-1901.32,-1901.32
2025-02-13,cash_in_investments_income,0.0,1697.02,1697.02
2025-02-14,cash_in_resort_revenue,0.0,635.72,635.72
2025-02-14,cash_out_investments_outflow,-166.38,-13.76,-13.76
2025-02-14,cash_out_foreign_exchange_expenses,-700.59,-28.62,-28.62
2025-02-14,cash_out_tax_payments,0.0,-58.2,-58.2
2025-02-14,cash_out_insurance_costs,0.0,-69.71,-69.71
2025-02-14,cash_out_resort_maintenance_expenses,-172.39,-99.95,-99.95
2025-02-14,cash_in_tax_income,271.46,2323.92,2323.92
2025-02-14,cash_out_payroll,-3894.32,-2318.71,-2318.71
2025-02-14,cash_in_investments_income,0.0,1253.09,1253.09
2025-02-15,cash_in_resort_revenue,0.0,3003.42,3003.42
2025-02-15,cash_out_investments_outflow,0.0,1832.89,1832.89
2025-02-15,cash_out_foreign_exchange_expenses,-642.0699999999999,-214.59,-214.59
2025-02-15,cash_out_tax_payments,-727.74,801.14,801.14
2025-02-15,cash_out_insurance_costs,0.0,-124.85,-124.85
2025-02-15,cash_out_resort_maintenance_expenses,-33.3,-21.28,-21.28
2025-02-15,cash_in_tax_income,0.0,0.0,0.0
2025-02-15,cash_out_payroll,0.0,217.11,-5519.0
2025-02-15,cash_in_investments_income,380.61,1489.19,1564.1
2025-02-16,cash_in_resort_revenue,0.0,2805.97,3796.14
2025-02-16,cash_out_investments_outflow,0.0,422.86,422.86
2025-02-16,cash_out_foreign_exchange_expenses,0.0,-39.52,-39.52
2025-02-16,cash_out_tax_payments,0.0,0.0,0.0
